Date,mp_id,rc_id,Actual_Revenue,Forecasted_Revenue
2024-04-01,1,7,0.0,746.8005609559734
2024-04-02,1,7,0.0,746.8005609559734
2024-04-03,1,7,0.0,746.8005609559734
2024-04-04,1,7,50.0,746.8005609559734
2024-04-05,1,7,0.0,746.8005609559734
2024-04-06,1,7,70.0,746.8005609559734
2024-04-07,1,7,0.0,746.8005609559734
2024-04-08,1,7,0.0,746.8005609559734
2024-04-09,1,7,0.0,746.8005609559734
2024-04-10,1,7,0.0,746.8005609559734
2024-04-11,1,7,0.0,746.8005609559734
2024-04-12,1,7,0.0,746.8005609559734
2024-04-13,1,7,0.0,746.8005609559734
2024-04-14,1,7,0.0,746.8005609559734
2024-04-15,1,7,20.0,746.8005609559734
2024-04-16,1,7,35.0,746.8005609559734
2024-04-17,1,7,0.0,746.8005609559734
2024-04-18,1,7,35.0,746.8005609559734
2024-04-19,1,7,0.0,746.8005609559734
2024-04-20,1,7,0.0,746.8005609559734
2024-04-21,1,7,0.0,746.8005609559734
2024-04-22,1,7,35.0,746.8005609559734
2024-04-23,1,7,0.0,746.8005609559734
2024-04-24,1,7,70.0,746.8005609559734
2024-04-25,1,7,87.5,746.8005609559734
2024-04-26,1,7,35.0,746.8005609559734
2024-04-27,1,7,0.0,746.8005609559734
2024-04-28,1,7,0.0,746.8005609559734
2024-04-29,1,7,0.0,746.8005609559734
2024-04-30,1,7,87.5,746.8005609559734
2024-04-01,2,0,350.0,1441.6672663885035
2024-04-02,2,0,231.0,1441.6672663885035
2024-04-03,2,0,394.0,1441.6672663885035
2024-04-04,2,0,928.0,1441.6672663885035
2024-04-05,2,0,0.0,1441.6672663885035
2024-04-06,2,0,389.2,1441.6672663885035
2024-04-07,2,0,120.0,1441.6672663885035
2024-04-08,2,0,80.0,1441.6672663885035
2024-04-09,2,0,195.0,1441.6672663885035
2024-04-10,2,0,562.0,1441.6672663885035
2024-04-11,2,0,454.0,1441.6672663885035
2024-04-12,2,0,0.0,1441.6672663885035
2024-04-13,2,0,315.0,1441.6672663885035
2024-04-14,2,0,216.5,1441.6672663885035
2024-04-15,2,0,1067.5,1441.6672663885035
2024-04-16,2,0,583.0,1441.6672663885035
2024-04-17,2,0,878.0,1441.6672663885035
2024-04-18,2,0,417.5,1441.6672663885035
2024-04-19,2,0,1016.0,1441.6672663885035
2024-04-20,2,0,173.0,1441.6672663885035
2024-04-21,2,0,324.0,1441.6672663885035
2024-04-22,2,0,809.5,1441.6672663885035
2024-04-23,2,0,737.5,1441.6672663885035
2024-04-24,2,0,691.0,1441.6672663885035
2024-04-25,2,0,1121.5,1441.6672663885035
2024-04-26,2,0,1224.0,1441.6672663885035
2024-04-27,2,0,543.4,1441.6672663885035
2024-04-28,2,0,1567.0,1441.6672663885035
2024-04-29,2,0,366.0,1441.6672663885035
2024-04-30,2,0,1242.0,1441.6672663885035
2024-04-01,2,1,95.0,1256.8161239384522
2024-04-02,2,1,35.0,1256.8161239384522
2024-04-03,2,1,17.5,1256.8161239384522
2024-04-04,2,1,0.0,1256.8161239384522
2024-04-05,2,1,133.0,1256.8161239384522
2024-04-06,2,1,0.0,1256.8161239384522
2024-04-07,2,1,0.0,1256.8161239384522
2024-04-08,2,1,0.0,1256.8161239384522
2024-04-09,2,1,27.0,1256.8161239384522
2024-04-10,2,1,0.0,1256.8161239384522
2024-04-11,2,1,417.0,1256.8161239384522
2024-04-12,2,1,327.0,1256.8161239384522
2024-04-13,2,1,601.0,1256.8161239384522
2024-04-14,2,1,90.0,1256.8161239384522
2024-04-15,2,1,262.0,1256.8161239384522
2024-04-16,2,1,308.0,1256.8161239384522
2024-04-17,2,1,127.0,1256.8161239384522
2024-04-18,2,1,766.0,1256.8161239384522
2024-04-19,2,1,1005.0,1256.8161239384522
2024-04-20,2,1,425.0,1256.8161239384522
2024-04-21,2,1,297.0,1256.8161239384522
2024-04-22,2,1,403.0,1256.8161239384522
2024-04-23,2,1,1074.0,1256.8161239384522
2024-04-24,2,1,330.0,1256.8161239384522
2024-04-25,2,1,513.0,1256.8161239384522
2024-04-26,2,1,351.0,1256.8161239384522
2024-04-27,2,1,200.0,1256.8161239384522
2024-04-28,2,1,459.5,1256.8161239384522
2024-04-29,2,1,706.0,1256.8161239384522
2024-04-30,2,1,791.0,1256.8161239384522
2024-04-01,2,2,738.0,1695.4615834175804
2024-04-02,2,2,1047.0,1695.4615834175804
2024-04-03,2,2,1262.5,1695.4615834175804
2024-04-04,2,2,840.5,1695.4615834175804
2024-04-05,2,2,925.0,1695.4615834175804
2024-04-06,2,2,1378.25,1695.4615834175804
2024-04-07,2,2,666.0,1695.4615834175804
2024-04-08,2,2,878.0,1695.4615834175804
2024-04-09,2,2,698.0,1695.4615834175804
2024-04-10,2,2,367.0,1695.4615834175804
2024-04-11,2,2,1027.0,1695.4615834175804
2024-04-12,2,2,1464.0,1695.4615834175804
2024-04-13,2,2,1415.0,1695.4615834175804
2024-04-14,2,2,584.0,1695.4615834175804
2024-04-15,2,2,3118.25,1695.4615834175804
2024-04-16,2,2,1781.5,1695.4615834175804
2024-04-17,2,2,3968.25,1695.4615834175804
2024-04-18,2,2,677.5,1695.4615834175804
2024-04-19,2,2,998.5,1695.4615834175804
2024-04-20,2,2,1710.0,1695.4615834175804
2024-04-21,2,2,1927.0,1695.4615834175804
2024-04-22,2,2,952.5,1695.4615834175804
2024-04-23,2,2,1621.0,1695.4615834175804
2024-04-24,2,2,2640.75,1695.4615834175804
2024-04-25,2,2,1967.0,1695.4615834175804
2024-04-26,2,2,1357.5,1695.4615834175804
2024-04-27,2,2,1641.0,1695.4615834175804
2024-04-28,2,2,3164.0,1695.4615834175804
2024-04-29,2,2,1790.5,1695.4615834175804
2024-04-30,2,2,1167.0,1695.4615834175804
2024-04-01,2,3,80.0,1695.4615834175804
2024-04-02,2,3,0.0,1695.4615834175804
2024-04-03,2,3,350.0,1695.4615834175804
2024-04-04,2,3,40.0,1695.4615834175804
2024-04-05,2,3,4175.625,1695.4615834175804
2024-04-06,2,3,1396.0,1695.4615834175804
2024-04-07,2,3,200.0,1695.4615834175804
2024-04-08,2,3,356.0,1695.4615834175804
2024-04-09,2,3,888.0,1695.4615834175804
2024-04-10,2,3,200.0,1695.4615834175804
2024-04-11,2,3,690.0,1695.4615834175804
2024-04-12,2,3,1643.5,1695.4615834175804
2024-04-13,2,3,832.0,1695.4615834175804
2024-04-14,2,3,1561.0,1695.4615834175804
